"id","name","agency","state","district","type","landRequired","landAcquired","landNotified","acquisitionPct","compensationPct","possessionPct","rrPct","status","stage","targetDate","estimatedCost","risk","riskScore","affectedFamilies","displacedFamilies","compensationAssessed","compensationDisbursed","lastUpdated"
"PRJ-021","NH-21 Expansion","National Highways Authority of India (NHAI)","Tamil Nadu","Coimbatore","Industrial Corridor","23.4","23.4","23.4","100","50","0","0","Approved","Approval","2029-03-18","1212.2","MEDIUM","46","76","21","303.05","151.52","2026-08-27 15:27"
"PRJ-022","NH-274 Expansion","National Highways Authority of India (NHAI)","Uttar Pradesh","Lucknow","Railways","29.4","29.4","29.4","100","50","0","0","Approved","Approval","2030-01-18","1493.8","MEDIUM","47","55","18","373.45","186.72","2026-08-20 14:46"
"PRJ-023","RURAL ROAD-316","Ministry of Railways (Railway Board)","Uttar Pradesh","Lucknow","Railways","50","50","50","100","95","85","75","R&R In Progress","R&R","2028-01-08","2538","LOW","12","155","54","634.5","602.78","2026-08-26 17:20"
"PRJ-024","NH-777 Expansion","Ministry of Railways (Railway Board)","Tamil Nadu","Coimbatore","Public Infrastructure","73.9","48.72","57.59","65.9","59.3","46.1","33","Possession Pending","Possession","2028-09-24","2101.8","MEDIUM","46","219","77","525.45","311.59","2026-08-26 09:16"
"PRJ-025","NH-898 Expansion","Ministry of Railways (Railway Board)","Karnataka","Bengaluru","Industrial Corridor","13.2","13.2","13.2","100","95","85","75","R&R In Progress","R&R","2027-10-10","805.6","LOW","12","35","9","201.4","191.33","2026-08-26 08:39"
"PRJ-026","NH-367 Expansion","Ministry of Heavy Industries & Infrastructure","Tamil Nadu","Coimbatore","Industrial Corridor","78.7","11.17","20.61","14.2","7.1","0","0","Approved","Approval","2028-11-17","2620.6","MEDIUM","53","235","66","655.15","46.52","2026-08-27 09:23"
"PRJ-027","NH-428 Expansion","Ministry of Railways (Railway Board)","Tamil Nadu","Chennai","Highways","55.9","55.9","55.9","100","100","100","100","Completed","Completion","2029-08-02","2197.5","LOW","15","154","38","549.38","549.38","2026-08-24 11:53"
"PRJ-028","NH-943 Expansion","Ministry of Heavy Industries & Infrastructure","Uttar Pradesh","Lucknow","Industrial Corridor","98.2","98.2","98.2","100","100","100","100","Completed","Completion","2027-04-13","3202.6","LOW","15","235","63","800.65","800.65","2026-08-27 14:40"
"PRJ-029","NH-81 Expansion","National Highways Authority of India (NHAI)","Gujarat","Surat","Highways","56.9","56.9","56.9","100","100","100","100","Completed","Completion","2029-09-30","2162.5","LOW","15","163","36","540.62","540.62","2026-08-25 08:21"
"PRJ-030","NH-872 Expansion","Ministry of Heavy Industries & Infrastructure","Gujarat","Surat","Industrial Corridor","47.4","7.75","13.44","16.4","8.2","0","0","Award Declared","Award","2030-04-11","1659.2","MEDIUM","55","140","31","414.8","34.01","2026-08-25 12:44"
"PRJ-031","RURAL ROAD-390","Ministry of Railways (Railway Board)","Maharashtra","Pune","Public Infrastructure","12.1","12.1","12.1","100","95","85","75","R&R In Progress","R&R","2027-12-02","603.2","LOW","10","31","6","150.8","143.26","2026-08-20 11:23"
"PRJ-032","NH-772 Expansion","National Highways Authority of India (NHAI)","Maharashtra","Mumbai","Industrial Corridor","84.9","36.67","46.86","43.2","32.4","17.3","8.6","Compensation Pending","Compensation","2029-04-30","2695.2","MEDIUM","53","267","101","673.8","218.31","2026-08-20 10:17"
"PRJ-033","NH-703 Expansion","National Highways Authority of India (NHAI)","Tamil Nadu","Coimbatore","Highways","76.9","7.8","17.03","10.1","5","0","0","Approved","Approval","2029-01-27","3075.5","MEDIUM","55","192","58","768.88","38.44","2026-08-24 15:13"
"PRJ-034","RURAL ROAD-44","National Highways Authority of India (NHAI)","Tamil Nadu","Coimbatore","Highways","13.7","13.33","13.7","97.3","92.4","82.7","73","R&R In Progress","R&R","2030-01-17","822.5","LOW","14","30","10","205.62","189.99","2026-08-24 09:23"
"PRJ-035","RURAL ROAD-446","Ministry of Heavy Industries & Infrastructure","Maharashtra","Pune","Public Infrastructure","32.9","26.26","30.21","79.8","55.9","31.9","23.9","Delayed","Possession","2030-01-11","1259.8","HIGH","60","64","25","314.95","176.06","2026-08-26 13:43"
"PRJ-036","RURAL ROAD-351","Ministry of Railways (Railway Board)","Maharashtra","Pune","Industrial Corridor","46.4","46.4","46.4","100","95","85","75","R&R In Progress","R&R","2028-08-24","1502.2","LOW","12","143","57","375.55","356.77","2026-08-23 13:42"
"PRJ-037","RURAL ROAD-456","National Highways Authority of India (NHAI)","Maharashtra","Pune","Industrial Corridor","66.2","56.61","64.55","85.5","81.2","72.7","64.1","R&R In Progress","R&R","2028-02-03","2230.6","LOW","23","136","30","557.65","452.81","2026-08-25 09:43"
"PRJ-038","NH-252 Expansion","National Highways Authority of India (NHAI)","Uttar Pradesh","Lucknow","Public Infrastructure","53.7","53.7","53.7","100","95","85","75","R&R In Progress","R&R","2029-04-15","1352.4","LOW","12","120","36","338.1","321.2","2026-08-20 14:32"
"PRJ-039","NH-296 Expansion","National Highways Authority of India (NHAI)","Tamil Nadu","Chennai","Industrial Corridor","87.5","87.5","87.5","100","100","100","100","Completed","Completion","2029-06-12","2637","LOW","15","194","45","659.25","659.25","2026-08-22 13:46"
"PRJ-040","RURAL ROAD-237","Ministry of Heavy Industries & Infrastructure","Tamil Nadu","Coimbatore","Industrial Corridor","38.2","10.95","15.53","28.7","14.4","0","0","Approved","Approval","2028-04-03","1291.6","MEDIUM","53","122","28","322.9","46.5","2026-08-22 12:25"
"PRJ-041","NH-53 Expansion","Ministry of Heavy Industries & Infrastructure","Uttar Pradesh","Lucknow","Highways","12.6","12.6","12.6","100","95","85","75","R&R In Progress","R&R","2029-04-01","681","LOW","12","32","10","170.25","161.74","2026-08-20 13:28"
"PRJ-042","NH-217 Expansion","Ministry of Railways (Railway Board)","Maharashtra","Pune","Industrial Corridor","32.5","32.5","32.5","100","95","85","75","R&R In Progress","R&R","2030-06-11","1105","LOW","12","84","21","276.25","262.44","2026-08-24 11:26"
"PRJ-043","NH-380 Expansion","Ministry of Heavy Industries & Infrastructure","Tamil Nadu","Coimbatore","Industrial Corridor","37.6","37.6","37.6","100","100","100","100","Completed","Completion","2029-08-21","1472.8","LOW","15","113","35","368.2","368.2","2026-08-23 14:53"
"PRJ-044","NH-157 Expansion","National Highways Authority of India (NHAI)","Uttar Pradesh","Lucknow","Public Infrastructure","89.7","46.81","57.57","52.2","39.2","20.9","10.4","Compensation Pending","Compensation","2029-06-11","2239.4","MEDIUM","53","173","50","559.85","219.46","2026-08-20 17:19"
"PRJ-045","RURAL ROAD-65","Ministry of Railways (Railway Board)","Tamil Nadu","Chennai","Public Infrastructure","70.8","20.61","29.11","29.1","20.4","11.6","8.7","Delayed","Award","2029-03-07","1917.6","HIGH","73","185","46","479.4","97.8","2026-08-23 08:35"
"PRJ-046","NH-521 Expansion","National Highways Authority of India (NHAI)","Uttar Pradesh","Lucknow","Railways","38.3","38.3","38.3","100","100","100","100","Completed","Completion","2029-08-15","2061.6","LOW","15","105","27","515.4","515.4","2026-08-21 13:28"
"PRJ-047","RURAL ROAD-492","National Highways Authority of India (NHAI)","Tamil Nadu","Chennai","Highways","97.8","50.72","62.46","51.9","38.9","20.8","10.4","Compensation Pending","Compensation","2027-10-18","3856","MEDIUM","51","195","47","964","375","2026-08-25 10:29"
"PRJ-048","NH-63 Expansion","Ministry of Heavy Industries & Infrastructure","Maharashtra","Pune","Industrial Corridor","58","10.25","17.21","17.7","8.8","0","0","Award Declared","Award","2029-10-23","1948","MEDIUM","54","147","37","487","42.86","2026-08-21 12:40"
"PRJ-049","RURAL ROAD-81","Ministry of Railways (Railway Board)","Tamil Nadu","Chennai","Industrial Corridor","55.2","43.83","50.45","79.4","55.6","31.8","23.8","Delayed","Possession","2030-05-15","2042.6","HIGH","63","166","55","510.65","283.92","2026-08-20 13:35"
"PRJ-050","RURAL ROAD-419","Ministry of Heavy Industries & Infrastructure","Tamil Nadu","Coimbatore","Railways","92.8","49.27","60.41","53.1","39.8","21.2","10.6","Compensation Pending","Compensation","2030-05-14","4495.6","MEDIUM","48","223","60","1123.9","447.31","2026-08-26 14:14"
