"id","projectId","projectName","type","number","issueDate","publicationDate","status","remarks"
"NOT-0023","PRJ-013","NH-561 Expansion","Declaration","MH-LA/2025/962","2025-05-09","2025-05-09","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0024","PRJ-014","NH-511 Expansion","Preliminary Notification","MH-LA/2025/165","2025-02-27","2025-02-27","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0025","PRJ-015","NH-476 Expansion","Preliminary Notification","TN-LA/2025/704","2025-05-02","2025-05-02","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0026","PRJ-016","RURAL ROAD-271","Preliminary Notification","KA-LA/2025/773","2025-01-01","2025-01-01","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0027","PRJ-016","RURAL ROAD-271","Declaration","KA-LA/2025/201","2025-01-01","2025-01-01","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0028","PRJ-017","NH-687 Expansion","Preliminary Notification","MH-LA/2025/290","2025-08-27","2025-08-27","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0029","PRJ-018","NH-876 Expansion","Preliminary Notification","MH-LA/2025/804","2025-10-17","2025-10-17","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0030","PRJ-019","NH-832 Expansion","Preliminary Notification","UP-LA/2025/708","2025-04-06","2025-04-06","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0031","PRJ-020","NH-485 Expansion","Preliminary Notification","KA-LA/2025/201","2025-05-06","2025-05-06","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0032","PRJ-021","NH-21 Expansion","Preliminary Notification","TN-LA/2025/996","2025-04-28","2025-04-28","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0033","PRJ-022","NH-274 Expansion","Preliminary Notification","UP-LA/2025/129","2025-02-17","2025-02-17","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0034","PRJ-022","NH-274 Expansion","Declaration","UP-LA/2025/394","2025-02-17","2025-02-17","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0035","PRJ-023","RURAL ROAD-316","Preliminary Notification","UP-LA/2025/916","2025-03-30","2025-03-30","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0036","PRJ-024","NH-777 Expansion","Preliminary Notification","TN-LA/2025/245","2025-08-25","2025-08-25","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0037","PRJ-025","NH-898 Expansion","Preliminary Notification","KA-LA/2025/163","2025-09-29","2025-09-29","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0038","PRJ-025","NH-898 Expansion","Declaration","KA-LA/2025/794","2025-09-29","2025-09-29","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0039","PRJ-026","NH-367 Expansion","Preliminary Notification","TN-LA/2025/473","2025-07-08","2025-07-08","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0040","PRJ-027","NH-428 Expansion","Preliminary Notification","TN-LA/2025/240","2025-07-11","2025-07-11","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0041","PRJ-027","NH-428 Expansion","Declaration","TN-LA/2025/460","2025-07-11","2025-07-11","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0042","PRJ-027","NH-428 Expansion","Award Notification","TN-LA/2025/558","2025-07-11","2025-07-11","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0043","PRJ-028","NH-943 Expansion","Preliminary Notification","UP-LA/2025/160","2025-03-10","2025-03-10","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0044","PRJ-028","NH-943 Expansion","Declaration","UP-LA/2025/506","2025-03-10","2025-03-10","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0045","PRJ-028","NH-943 Expansion","Award Notification","UP-LA/2025/517","2025-03-10","2025-03-10","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0046","PRJ-029","NH-81 Expansion","Preliminary Notification","GJ-LA/2025/114","2025-10-05","2025-10-05","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0047","PRJ-029","NH-81 Expansion","Declaration","GJ-LA/2025/632","2025-10-05","2025-10-05","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0048","PRJ-029","NH-81 Expansion","Award Notification","GJ-LA/2025/153","2025-10-05","2025-10-05","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0049","PRJ-030","NH-872 Expansion","Preliminary Notification","GJ-LA/2025/779","2025-12-15","2025-12-15","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0050","PRJ-030","NH-872 Expansion","Declaration","GJ-LA/2025/525","2025-12-15","2025-12-15","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0051","PRJ-031","RURAL ROAD-390","Preliminary Notification","MH-LA/2025/660","2025-09-04","2025-09-04","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0052","PRJ-031","RURAL ROAD-390","Declaration","MH-LA/2025/160","2025-09-04","2025-09-04","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0053","PRJ-032","NH-772 Expansion","Preliminary Notification","MH-LA/2025/769","2025-03-17","2025-03-17","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0054","PRJ-032","NH-772 Expansion","Declaration","MH-LA/2025/220","2025-03-17","2025-03-17","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0055","PRJ-033","NH-703 Expansion","Preliminary Notification","TN-LA/2025/760","2025-06-03","2025-06-03","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0056","PRJ-033","NH-703 Expansion","Declaration","TN-LA/2025/202","2025-06-03","2025-06-03","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0057","PRJ-034","RURAL ROAD-44","Preliminary Notification","TN-LA/2025/779","2025-05-24","2025-05-24","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0058","PRJ-034","RURAL ROAD-44","Declaration","TN-LA/2025/356","2025-05-24","2025-05-24","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0059","PRJ-035","RURAL ROAD-446","Preliminary Notification","MH-LA/2025/454","2025-03-27","2025-03-27","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0060","PRJ-035","RURAL ROAD-446","Declaration","MH-LA/2025/574","2025-03-27","2025-03-27","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0061","PRJ-036","RURAL ROAD-351","Preliminary Notification","MH-LA/2025/475","2025-07-04","2025-07-04","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0062","PRJ-036","RURAL ROAD-351","Declaration","MH-LA/2025/253","2025-07-04","2025-07-04","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0063","PRJ-037","RURAL ROAD-456","Preliminary Notification","MH-LA/2025/361","2025-10-12","2025-10-12","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0064","PRJ-038","NH-252 Expansion","Preliminary Notification","UP-LA/2025/241","2025-08-08","2025-08-08","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0065","PRJ-039","NH-296 Expansion","Preliminary Notification","TN-LA/2025/828","2025-03-10","2025-03-10","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0066","PRJ-039","NH-296 Expansion","Declaration","TN-LA/2025/410","2025-03-10","2025-03-10","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0067","PRJ-039","NH-296 Expansion","Award Notification","TN-LA/2025/666","2025-03-10","2025-03-10","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0068","PRJ-040","RURAL ROAD-237","Preliminary Notification","TN-LA/2025/490","2025-02-16","2025-02-16","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0069","PRJ-040","RURAL ROAD-237","Declaration","TN-LA/2025/185","2025-02-16","2025-02-16","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0070","PRJ-041","NH-53 Expansion","Preliminary Notification","UP-LA/2025/704","2025-04-04","2025-04-04","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0071","PRJ-042","NH-217 Expansion","Preliminary Notification","MH-LA/2025/988","2025-08-26","2025-08-26","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0072","PRJ-043","NH-380 Expansion","Preliminary Notification","TN-LA/2025/794","2025-07-23","2025-07-23","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0073","PRJ-043","NH-380 Expansion","Declaration","TN-LA/2025/541","2025-07-23","2025-07-23","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0074","PRJ-043","NH-380 Expansion","Award Notification","TN-LA/2025/276","2025-07-23","2025-07-23","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0075","PRJ-044","NH-157 Expansion","Preliminary Notification","UP-LA/2025/517","2025-08-06","2025-08-06","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0076","PRJ-044","NH-157 Expansion","Declaration","UP-LA/2025/837","2025-08-06","2025-08-06","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0077","PRJ-045","RURAL ROAD-65","Preliminary Notification","TN-LA/2025/460","2025-12-07","2025-12-07","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0078","PRJ-046","NH-521 Expansion","Preliminary Notification","UP-LA/2025/172","2025-02-08","2025-02-08","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0079","PRJ-046","NH-521 Expansion","Declaration","UP-LA/2025/874","2025-02-08","2025-02-08","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0080","PRJ-046","NH-521 Expansion","Award Notification","UP-LA/2025/167","2025-02-08","2025-02-08","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0081","PRJ-047","RURAL ROAD-492","Preliminary Notification","TN-LA/2025/379","2025-04-10","2025-04-10","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0082","PRJ-048","NH-63 Expansion","Preliminary Notification","MH-LA/2025/777","2025-10-16","2025-10-16","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0083","PRJ-048","NH-63 Expansion","Declaration","MH-LA/2025/132","2025-10-16","2025-10-16","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0084","PRJ-049","RURAL ROAD-81","Preliminary Notification","TN-LA/2025/179","2025-09-11","2025-09-11","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0085","PRJ-049","RURAL ROAD-81","Declaration","TN-LA/2025/930","2025-09-11","2025-09-11","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0086","PRJ-050","RURAL ROAD-419","Preliminary Notification","TN-LA/2025/616","2025-08-10","2025-08-10","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
