"id","projectId","district","village","category","landAffected","displacementStatus","compensationStatus","rrEligibility","rrBenefit","rrStatus"
"FAM-00024","PRJ-006","Bengaluru","Therkku Poigainallur","Occupant","2.1","Fully Displaced","Fully Paid","True","Employment","Completed"
"FAM-00025","PRJ-007","Coimbatore","Pazhaverkadu","Tenant","7.76","Fully Displaced","Fully Paid","True","Employment","Completed"
"FAM-00026","PRJ-007","Coimbatore","Devikapuram","Agricultural Labour","6.82","Not Displaced","Fully Paid","True","Housing Plot","Completed"
"FAM-00027","PRJ-007","Coimbatore","Therkku Poigainallur","Occupant","3.6","Fully Displaced","Fully Paid","True","Employment","Completed"
"FAM-00028","PRJ-008","Pune","Nallur","Agricultural Labour","7.97","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00029","PRJ-008","Pune","Kottur","Artisan","1.82","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00030","PRJ-008","Pune","Vadakkukarai","Artisan","0.75","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00031","PRJ-008","Pune","Nallur","Title Holder","5.06","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00032","PRJ-008","Pune","Keeladi","Occupant","7.05","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00033","PRJ-009","Lucknow","Pazhaverkadu","Occupant","3.33","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00034","PRJ-009","Lucknow","Alampatti","Title Holder","6.89","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00035","PRJ-009","Lucknow","Thenkudi","Artisan","3.21","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00036","PRJ-009","Lucknow","Vadakkukarai","Occupant","1.13","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00037","PRJ-010","Coimbatore","Thenkudi","Title Holder","4.33","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00038","PRJ-010","Coimbatore","Keeladi","Agricultural Labour","2.71","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00039","PRJ-010","Coimbatore","Kottur","Occupant","4.9","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00040","PRJ-010","Coimbatore","Sulthanpet","Agricultural Labour","6.41","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00041","PRJ-011","Coimbatore","Vadakkukarai","Occupant","0.58","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00042","PRJ-011","Coimbatore","Manamadurai","Agricultural Labour","3.73","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00043","PRJ-011","Coimbatore","Devikapuram","Title Holder","0.5","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00044","PRJ-011","Coimbatore","Vadakkukarai","Artisan","1.87","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00045","PRJ-011","Coimbatore","Nallur","Occupant","1.4","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00046","PRJ-011","Coimbatore","Pazhaverkadu","Tenant","6.9","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00047","PRJ-012","Bengaluru","Pazhaverkadu","Occupant","1.47","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00048","PRJ-012","Bengaluru","Kallidaikurichi","Occupant","6.97","Fully Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00049","PRJ-012","Bengaluru","Keezhkattalai","Occupant","1.61","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00050","PRJ-012","Bengaluru","Thenkudi","Tenant","7.96","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00051","PRJ-012","Bengaluru","Therkku Poigainallur","Artisan","0.87","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00052","PRJ-012","Bengaluru","Thenkudi","Artisan","6.21","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00053","PRJ-013","Mumbai","Pazhaverkadu","Artisan","3.64","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00054","PRJ-013","Mumbai","Vadakkukarai","Artisan","6.27","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00055","PRJ-013","Mumbai","Devikapuram","Title Holder","5.86","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00056","PRJ-013","Mumbai","Alampatti","Tenant","2.23","Fully Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00057","PRJ-013","Mumbai","Kallidaikurichi","Occupant","0.8","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00058","PRJ-014","Mumbai","Therkku Poigainallur","Tenant","7.09","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00059","PRJ-014","Mumbai","Kallidaikurichi","Agricultural Labour","1.42","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00060","PRJ-014","Mumbai","Manamadurai","Tenant","4.97","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00061","PRJ-014","Mumbai","Nallur","Agricultural Labour","6.56","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00062","PRJ-014","Mumbai","Kallidaikurichi","Tenant","1.44","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00063","PRJ-014","Mumbai","Alampatti","Title Holder","0.78","Partially Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00064","PRJ-015","Chennai","Keeladi","Title Holder","4.8","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00065","PRJ-015","Chennai","Thenkudi","Title Holder","2.57","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00066","PRJ-015","Chennai","Keezhkattalai","Agricultural Labour","2.3","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00067","PRJ-016","Bengaluru","Nallur","Occupant","5.66","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00068","PRJ-016","Bengaluru","Kodiveri","Artisan","4.82","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00069","PRJ-016","Bengaluru","Keezhkattalai","Title Holder","0.98","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00070","PRJ-017","Pune","Melmaruvathur","Title Holder","6.36","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00071","PRJ-017","Pune","Nallur","Agricultural Labour","7.03","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00072","PRJ-017","Pune","Keezhkattalai","Tenant","5.77","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00073","PRJ-018","Mumbai","Keeladi","Title Holder","6.87","Partially Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00074","PRJ-018","Mumbai","Keezhkattalai","Tenant","4.45","Fully Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00075","PRJ-018","Mumbai","Sulthanpet","Occupant","7.76","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00076","PRJ-018","Mumbai","Alampatti","Artisan","2.75","Fully Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00077","PRJ-018","Mumbai","Nallur","Agricultural Labour","6.71","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00078","PRJ-019","Lucknow","Kottur","Title Holder","2.53","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00079","PRJ-019","Lucknow","Nallur","Tenant","1.68","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00080","PRJ-019","Lucknow","Sulthanpet","Tenant","2.62","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00081","PRJ-019","Lucknow","Therkku Poigainallur","Tenant","2.18","Partially Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00082","PRJ-020","Bengaluru","Melmaruvathur","Agricultural Labour","0.8","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00083","PRJ-020","Bengaluru","Kodiveri","Tenant","2.96","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00084","PRJ-020","Bengaluru","Pazhaverkadu","Artisan","0.82","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00085","PRJ-020","Bengaluru","Kallidaikurichi","Occupant","6.92","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00086","PRJ-021","Coimbatore","Nallur","Agricultural Labour","6.27","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00087","PRJ-021","Coimbatore","Vadakkukarai","Artisan","7.37","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00088","PRJ-021","Coimbatore","Keeladi","Title Holder","3.71","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00089","PRJ-021","Coimbatore","Keeladi","Agricultural Labour","1.32","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00090","PRJ-022","Lucknow","Keeladi","Occupant","2.56","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00091","PRJ-022","Lucknow","Alampatti","Occupant","1.08","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00092","PRJ-022","Lucknow","Manamadurai","Tenant","1.2","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00093","PRJ-022","Lucknow","Nallur","Tenant","0.89","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00094","PRJ-023","Lucknow","Manamadurai","Agricultural Labour","3.53","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00095","PRJ-023","Lucknow","Thenkudi","Occupant","4.97","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00096","PRJ-023","Lucknow","Melmaruvathur","Title Holder","4.34","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00097","PRJ-024","Coimbatore","Vadakkukarai","Artisan","2.77","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00098","PRJ-024","Coimbatore","Keeladi","Agricultural Labour","6.75","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00099","PRJ-024","Coimbatore","Nallur","Agricultural Labour","1.53","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00100","PRJ-024","Coimbatore","Thenkudi","Title Holder","6.75","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00101","PRJ-024","Coimbatore","Therkku Poigainallur","Artisan","5.18","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00102","PRJ-025","Bengaluru","Sulthanpet","Occupant","0.55","Fully Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00103","PRJ-025","Bengaluru","Keeladi","Artisan","4.31","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00104","PRJ-025","Bengaluru","Keezhkattalai","Title Holder","6.66","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00105","PRJ-026","Coimbatore","Alampatti","Artisan","0.55","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00106","PRJ-026","Coimbatore","Therkku Poigainallur","Artisan","7.93","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00107","PRJ-026","Coimbatore","Sulthanpet","Agricultural Labour","6.36","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00108","PRJ-027","Chennai","Alampatti","Tenant","1.9","Fully Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00109","PRJ-027","Chennai","Devikapuram","Occupant","0.51","Fully Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00110","PRJ-027","Chennai","Kallidaikurichi","Tenant","5.56","Fully Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00111","PRJ-027","Chennai","Kottur","Occupant","7.91","Fully Displaced","Fully Paid","True","Financial Assistance","Completed"
"FAM-00112","PRJ-028","Lucknow","Keeladi","Occupant","5.28","Not Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00113","PRJ-028","Lucknow","Kallidaikurichi","Agricultural Labour","4.3","Not Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00114","PRJ-028","Lucknow","Therkku Poigainallur","Artisan","2.08","Fully Displaced","Fully Paid","True","Housing Plot","Completed"
"FAM-00115","PRJ-029","Surat","Melmaruvathur","Tenant","4.31","Fully Displaced","Fully Paid","True","Housing Plot","Completed"
"FAM-00116","PRJ-029","Surat","Vadakkukarai","Artisan","2.32","Partially Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00117","PRJ-029","Surat","Keeladi","Agricultural Labour","3.77","Fully Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00118","PRJ-030","Surat","Devikapuram","Artisan","7.57","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00119","PRJ-030","Surat","Keezhkattalai","Title Holder","1.97","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00120","PRJ-030","Surat","Melmaruvathur","Tenant","5.6","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00121","PRJ-030","Surat","Devikapuram","Artisan","0.76","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00122","PRJ-030","Surat","Thenkudi","Artisan","4.83","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00123","PRJ-031","Pune","Alampatti","Agricultural Labour","4.37","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00124","PRJ-031","Pune","Keezhkattalai","Tenant","1.87","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00125","PRJ-031","Pune","Therkku Poigainallur","Agricultural Labour","6.49","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00126","PRJ-032","Mumbai","Kodiveri","Agricultural Labour","2.76","Partially Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00127","PRJ-032","Mumbai","Keezhkattalai","Title Holder","2.75","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00128","PRJ-032","Mumbai","Keezhkattalai","Tenant","4.5","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00129","PRJ-032","Mumbai","Keeladi","Artisan","6.7","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00130","PRJ-032","Mumbai","Devikapuram","Occupant","6.25","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00131","PRJ-033","Coimbatore","Therkku Poigainallur","Title Holder","4.3","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00132","PRJ-033","Coimbatore","Keezhkattalai","Occupant","7.31","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00133","PRJ-033","Coimbatore","Nallur","Artisan","4.98","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00134","PRJ-033","Coimbatore","Alampatti","Agricultural Labour","3.66","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00135","PRJ-034","Coimbatore","Therkku Poigainallur","Tenant","1.21","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00136","PRJ-034","Coimbatore","Alampatti","Artisan","6.73","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00137","PRJ-034","Coimbatore","Kallidaikurichi","Occupant","5.5","Partially Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00138","PRJ-035","Pune","Keeladi","Tenant","0.62","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00139","PRJ-035","Pune","Keezhkattalai","Occupant","7.75","Partially Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00140","PRJ-035","Pune","Kallidaikurichi","Title Holder","3.59","Fully Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00141","PRJ-035","Pune","Alampatti","Artisan","5.14","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00142","PRJ-035","Pune","Alampatti","Agricultural Labour","6.62","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00143","PRJ-036","Pune","Manamadurai","Artisan","6.86","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00144","PRJ-036","Pune","Nallur","Occupant","6.65","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00145","PRJ-036","Pune","Melmaruvathur","Agricultural Labour","4.25","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00146","PRJ-036","Pune","Kodiveri","Occupant","7.61","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00147","PRJ-036","Pune","Keezhkattalai","Title Holder","5.47","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00148","PRJ-036","Pune","Nallur","Occupant","2.28","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00149","PRJ-037","Pune","Pazhaverkadu","Agricultural Labour","0.83","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00150","PRJ-037","Pune","Sulthanpet","Tenant","6.71","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00151","PRJ-037","Pune","Kottur","Tenant","5.47","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00152","PRJ-037","Pune","Kallidaikurichi","Occupant","3.82","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00153","PRJ-038","Lucknow","Manamadurai","Tenant","4.5","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00154","PRJ-038","Lucknow","Thenkudi","Occupant","7.38","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00155","PRJ-038","Lucknow","Thenkudi","Tenant","5.18","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00156","PRJ-038","Lucknow","Sulthanpet","Title Holder","2.33","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00157","PRJ-038","Lucknow","Nallur","Title Holder","3.46","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00158","PRJ-039","Chennai","Melmaruvathur","Title Holder","7.9","Partially Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00159","PRJ-039","Chennai","Thenkudi","Artisan","3.22","Fully Displaced","Fully Paid","True","Housing Plot","Completed"
"FAM-00160","PRJ-039","Chennai","Kottur","Title Holder","0.75","Partially Displaced","Fully Paid","True","Housing Plot","Completed"
"FAM-00161","PRJ-039","Chennai","Pazhaverkadu","Tenant","7.09","Fully Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00162","PRJ-039","Chennai","Sulthanpet","Title Holder","5.77","Not Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00163","PRJ-039","Chennai","Keeladi","Occupant","2.24","Fully Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00164","PRJ-040","Coimbatore","Keeladi","Artisan","5.4","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00165","PRJ-040","Coimbatore","Keeladi","Artisan","5.68","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00166","PRJ-040","Coimbatore","Manamadurai","Title Holder","2.43","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00167","PRJ-040","Coimbatore","Manamadurai","Tenant","4.29","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00168","PRJ-040","Coimbatore","Melmaruvathur","Title Holder","4.82","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00169","PRJ-041","Lucknow","Thenkudi","Occupant","5.81","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00170","PRJ-041","Lucknow","Thenkudi","Occupant","4.89","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00171","PRJ-041","Lucknow","Manamadurai","Title Holder","2.13","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00172","PRJ-041","Lucknow","Kottur","Tenant","7.9","Partially Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00173","PRJ-042","Pune","Keeladi","Tenant","3.3","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00174","PRJ-042","Pune","Vadakkukarai","Artisan","4.07","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00175","PRJ-042","Pune","Therkku Poigainallur","Title Holder","5.9","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00176","PRJ-042","Pune","Nallur","Artisan","3.5","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00177","PRJ-043","Coimbatore","Keeladi","Tenant","4.42","Fully Displaced","Fully Paid","True","Employment","Completed"
"FAM-00178","PRJ-043","Coimbatore","Therkku Poigainallur","Occupant","5.11","Fully Displaced","Fully Paid","True","Employment","Completed"
"FAM-00179","PRJ-043","Coimbatore","Devikapuram","Title Holder","7.61","Not Displaced","Fully Paid","True","Housing Plot","Completed"
"FAM-00180","PRJ-043","Coimbatore","Therkku Poigainallur","Occupant","7.08","Fully Displaced","Fully Paid","True","Employment","Completed"
"FAM-00181","PRJ-043","Coimbatore","Thenkudi","Tenant","3.89","Fully Displaced","Fully Paid","True","Financial Assistance","Completed"
"FAM-00182","PRJ-044","Lucknow","Kallidaikurichi","Title Holder","3.78","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00183","PRJ-044","Lucknow","Melmaruvathur","Occupant","2.69","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00184","PRJ-044","Lucknow","Kottur","Title Holder","1.64","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00185","PRJ-044","Lucknow","Kallidaikurichi","Tenant","6.57","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00186","PRJ-045","Chennai","Kottur","Occupant","0.84","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00187","PRJ-045","Chennai","Thenkudi","Artisan","2.23","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00188","PRJ-045","Chennai","Nallur","Title Holder","1.6","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00189","PRJ-045","Chennai","Keeladi","Artisan","3.01","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00190","PRJ-045","Chennai","Devikapuram","Tenant","3.95","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00191","PRJ-045","Chennai","Keezhkattalai","Artisan","3.68","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00192","PRJ-046","Lucknow","Keeladi","Artisan","5.92","Fully Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00193","PRJ-046","Lucknow","Manamadurai","Title Holder","2.86","Partially Displaced","Fully Paid","True","Multiple Benefits","Completed"
"FAM-00194","PRJ-046","Lucknow","Pazhaverkadu","Occupant","6.07","Fully Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00195","PRJ-047","Chennai","Alampatti","Occupant","2.84","Fully Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00196","PRJ-047","Chennai","Kallidaikurichi","Artisan","7.75","Fully Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00197","PRJ-047","Chennai","Keeladi","Agricultural Labour","3.25","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00198","PRJ-047","Chennai","Pazhaverkadu","Agricultural Labour","7.03","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00199","PRJ-047","Chennai","Therkku Poigainallur","Agricultural Labour","5.71","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00200","PRJ-047","Chennai","Alampatti","Agricultural Labour","1.25","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00201","PRJ-048","Pune","Melmaruvathur","Agricultural Labour","4.04","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00202","PRJ-048","Pune","Kottur","Title Holder","4.84","Partially Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00203","PRJ-048","Pune","Kodiveri","Title Holder","7.11","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00204","PRJ-048","Pune","Therkku Poigainallur","Artisan","7.73","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00205","PRJ-048","Pune","Kallidaikurichi","Artisan","2.5","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00206","PRJ-049","Chennai","Kottur","Agricultural Labour","1.18","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00207","PRJ-049","Chennai","Alampatti","Tenant","4.13","Not Displaced","Assessed","True","Land Allotment","In Progress"
"FAM-00208","PRJ-049","Chennai","Alampatti","Tenant","2.23","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00209","PRJ-049","Chennai","Kottur","Agricultural Labour","7.94","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00210","PRJ-049","Chennai","Devikapuram","Title Holder","6.63","Not Displaced","Assessed","True","Financial Assistance","In Progress"
