"id","projectId","projectName","district","beneficiaryId","landArea","assessedAmount","approvedAmount","paidAmount","paymentDate","status"
"CMP-00017","PRJ-006","NH-872 Expansion","Bengaluru","BEN-36518","10.92","173.42","173.42","173.42","2026-02-15","Fully Paid"
"CMP-00018","PRJ-006","NH-872 Expansion","Bengaluru","BEN-74921","10.92","173.42","173.42","173.42","2026-02-15","Fully Paid"
"CMP-00019","PRJ-007","RURAL ROAD-150","Coimbatore","BEN-14107","20.12","373.06","373.06","373.06","2026-02-15","Fully Paid"
"CMP-00020","PRJ-007","RURAL ROAD-150","Coimbatore","BEN-32688","20.12","373.06","373.06","373.06","2026-02-15","Fully Paid"
"CMP-00021","PRJ-008","NH-344 Expansion","Pune","BEN-37923","15.35","341.02","341.02","137.43","2026-02-15","Partially Paid"
"CMP-00022","PRJ-008","NH-344 Expansion","Pune","BEN-18818","15.35","341.02","341.02","137.43","2026-02-15","Partially Paid"
"CMP-00023","PRJ-008","NH-344 Expansion","Pune","BEN-10965","15.35","341.02","341.02","137.43","2026-02-15","Partially Paid"
"CMP-00024","PRJ-009","RURAL ROAD-294","Lucknow","BEN-34908","3.28","56.35","56.35","39.44","2026-02-15","Partially Paid"
"CMP-00025","PRJ-009","RURAL ROAD-294","Lucknow","BEN-27605","3.28","56.35","56.35","39.44","2026-02-15","Partially Paid"
"CMP-00026","PRJ-009","RURAL ROAD-294","Lucknow","BEN-37939","3.28","56.35","56.35","39.44","2026-02-15","Partially Paid"
"CMP-00027","PRJ-009","RURAL ROAD-294","Lucknow","BEN-64332","3.28","56.35","56.35","39.44","2026-02-15","Partially Paid"
"CMP-00028","PRJ-010","NH-956 Expansion","Coimbatore","BEN-70360","13.65","254.71","254.71","127.36","2026-02-15","Partially Paid"
"CMP-00029","PRJ-010","NH-956 Expansion","Coimbatore","BEN-79007","13.65","254.71","254.71","127.36","2026-02-15","Partially Paid"
"CMP-00030","PRJ-010","NH-956 Expansion","Coimbatore","BEN-32549","13.65","254.71","254.71","127.36","2026-02-15","Partially Paid"
"CMP-00031","PRJ-011","NH-460 Expansion","Coimbatore","BEN-44866","13","307.58","307.58","30.14","2026-02-15","Partially Paid"
"CMP-00032","PRJ-011","NH-460 Expansion","Coimbatore","BEN-38321","13","307.58","307.58","30.14","2026-02-15","Partially Paid"
"CMP-00033","PRJ-011","NH-460 Expansion","Coimbatore","BEN-97015","13","307.58","307.58","30.14","2026-02-15","Partially Paid"
"CMP-00034","PRJ-012","NH-253 Expansion","Bengaluru","BEN-71265","3.25","84.62","84.62","80.39","2026-02-15","Partially Paid"
"CMP-00035","PRJ-012","NH-253 Expansion","Bengaluru","BEN-85873","3.25","84.62","84.62","80.39","2026-02-15","Partially Paid"
"CMP-00036","PRJ-012","NH-253 Expansion","Bengaluru","BEN-93570","3.25","84.62","84.62","80.39","2026-02-15","Partially Paid"
"CMP-00037","PRJ-012","NH-253 Expansion","Bengaluru","BEN-55496","3.25","84.62","84.62","80.39","2026-02-15","Partially Paid"
"CMP-00038","PRJ-013","NH-561 Expansion","Mumbai","BEN-57787","8.49","129.68","129.68","85.2","2026-02-15","Partially Paid"
"CMP-00039","PRJ-013","NH-561 Expansion","Mumbai","BEN-45052","8.49","129.68","129.68","85.2","2026-02-15","Partially Paid"
"CMP-00040","PRJ-013","NH-561 Expansion","Mumbai","BEN-87897","8.49","129.68","129.68","85.2","2026-02-15","Partially Paid"
"CMP-00041","PRJ-013","NH-561 Expansion","Mumbai","BEN-35267","8.49","129.68","129.68","85.2","2026-02-15","Partially Paid"
"CMP-00042","PRJ-014","NH-511 Expansion","Mumbai","BEN-10563","22.5","438.12","438.12","247.98","2026-02-15","Partially Paid"
"CMP-00043","PRJ-014","NH-511 Expansion","Mumbai","BEN-33763","22.5","438.12","438.12","247.98","2026-02-15","Partially Paid"
"CMP-00044","PRJ-015","NH-476 Expansion","Chennai","BEN-18478","6.21","160.15","160.15","57.33","2026-02-15","Partially Paid"
"CMP-00045","PRJ-015","NH-476 Expansion","Chennai","BEN-42627","6.21","160.15","160.15","57.33","2026-02-15","Partially Paid"
"CMP-00046","PRJ-015","NH-476 Expansion","Chennai","BEN-97118","6.21","160.15","160.15","57.33","2026-02-15","Partially Paid"
"CMP-00047","PRJ-015","NH-476 Expansion","Chennai","BEN-97541","6.21","160.15","160.15","57.33","2026-02-15","Partially Paid"
"CMP-00048","PRJ-016","RURAL ROAD-271","Bengaluru","BEN-70554","4.7","76.3","76.3","22.28","2026-02-15","Partially Paid"
"CMP-00049","PRJ-016","RURAL ROAD-271","Bengaluru","BEN-41022","4.7","76.3","76.3","22.28","2026-02-15","Partially Paid"
"CMP-00050","PRJ-016","RURAL ROAD-271","Bengaluru","BEN-49629","4.7","76.3","76.3","22.28","2026-02-15","Partially Paid"
"CMP-00051","PRJ-016","RURAL ROAD-271","Bengaluru","BEN-37460","4.7","76.3","76.3","22.28","2026-02-15","Partially Paid"
"CMP-00052","PRJ-017","NH-687 Expansion","Pune","BEN-39460","11.44","196.19","196.19","21.58","2026-02-15","Partially Paid"
"CMP-00053","PRJ-017","NH-687 Expansion","Pune","BEN-61104","11.44","196.19","196.19","21.58","2026-02-15","Partially Paid"
"CMP-00054","PRJ-017","NH-687 Expansion","Pune","BEN-41512","11.44","196.19","196.19","21.58","2026-02-15","Partially Paid"
"CMP-00055","PRJ-017","NH-687 Expansion","Pune","BEN-54793","11.44","196.19","196.19","21.58","2026-02-15","Partially Paid"
"CMP-00056","PRJ-018","NH-876 Expansion","Mumbai","BEN-17209","7.54","99.16","99.16","36.69","2026-02-15","Partially Paid"
"CMP-00057","PRJ-018","NH-876 Expansion","Mumbai","BEN-98429","7.54","99.16","99.16","36.69","2026-02-15","Partially Paid"
"CMP-00058","PRJ-018","NH-876 Expansion","Mumbai","BEN-50892","7.54","99.16","99.16","36.69","2026-02-15","Partially Paid"
"CMP-00059","PRJ-018","NH-876 Expansion","Mumbai","BEN-32089","7.54","99.16","99.16","36.69","2026-02-15","Partially Paid"
"CMP-00060","PRJ-019","NH-832 Expansion","Lucknow","BEN-74601","16.58","389","389","150.15","2026-02-15","Partially Paid"
"CMP-00061","PRJ-019","NH-832 Expansion","Lucknow","BEN-55559","16.58","389","389","150.15","2026-02-15","Partially Paid"
"CMP-00062","PRJ-019","NH-832 Expansion","Lucknow","BEN-49344","16.58","389","389","150.15","2026-02-15","Partially Paid"
"CMP-00063","PRJ-020","NH-485 Expansion","Bengaluru","BEN-53326","6.14","118.84","118.84","38.86","2026-02-15","Partially Paid"
"CMP-00064","PRJ-020","NH-485 Expansion","Bengaluru","BEN-87506","6.14","118.84","118.84","38.86","2026-02-15","Partially Paid"
"CMP-00065","PRJ-020","NH-485 Expansion","Bengaluru","BEN-56841","6.14","118.84","118.84","38.86","2026-02-15","Partially Paid"
"CMP-00066","PRJ-020","NH-485 Expansion","Bengaluru","BEN-16932","6.14","118.84","118.84","38.86","2026-02-15","Partially Paid"
"CMP-00067","PRJ-021","NH-21 Expansion","Coimbatore","BEN-21275","5.85","151.52","151.52","75.76","2026-02-15","Partially Paid"
"CMP-00068","PRJ-021","NH-21 Expansion","Coimbatore","BEN-73568","5.85","151.52","151.52","75.76","2026-02-15","Partially Paid"
"CMP-00069","PRJ-022","NH-274 Expansion","Lucknow","BEN-23168","4.9","124.48","124.48","62.24","2026-02-15","Partially Paid"
"CMP-00070","PRJ-022","NH-274 Expansion","Lucknow","BEN-92327","4.9","124.48","124.48","62.24","2026-02-15","Partially Paid"
"CMP-00071","PRJ-022","NH-274 Expansion","Lucknow","BEN-16968","4.9","124.48","124.48","62.24","2026-02-15","Partially Paid"
"CMP-00072","PRJ-023","RURAL ROAD-316","Lucknow","BEN-25943","12.5","317.25","317.25","301.39","2026-02-15","Partially Paid"
"CMP-00073","PRJ-023","RURAL ROAD-316","Lucknow","BEN-75858","12.5","317.25","317.25","301.39","2026-02-15","Partially Paid"
"CMP-00074","PRJ-024","NH-777 Expansion","Coimbatore","BEN-39079","12.32","175.15","175.15","103.86","2026-02-15","Partially Paid"
"CMP-00075","PRJ-024","NH-777 Expansion","Coimbatore","BEN-74345","12.32","175.15","175.15","103.86","2026-02-15","Partially Paid"
"CMP-00076","PRJ-024","NH-777 Expansion","Coimbatore","BEN-92581","12.32","175.15","175.15","103.86","2026-02-15","Partially Paid"
"CMP-00077","PRJ-025","NH-898 Expansion","Bengaluru","BEN-40301","1.65","50.35","50.35","47.83","2026-02-15","Partially Paid"
"CMP-00078","PRJ-025","NH-898 Expansion","Bengaluru","BEN-87745","1.65","50.35","50.35","47.83","2026-02-15","Partially Paid"
"CMP-00079","PRJ-025","NH-898 Expansion","Bengaluru","BEN-39313","1.65","50.35","50.35","47.83","2026-02-15","Partially Paid"
"CMP-00080","PRJ-025","NH-898 Expansion","Bengaluru","BEN-78051","1.65","50.35","50.35","47.83","2026-02-15","Partially Paid"
"CMP-00081","PRJ-026","NH-367 Expansion","Coimbatore","BEN-32046","9.84","163.79","163.79","11.63","2026-02-15","Partially Paid"
"CMP-00082","PRJ-026","NH-367 Expansion","Coimbatore","BEN-72101","9.84","163.79","163.79","11.63","2026-02-15","Partially Paid"
"CMP-00083","PRJ-026","NH-367 Expansion","Coimbatore","BEN-61431","9.84","163.79","163.79","11.63","2026-02-15","Partially Paid"
"CMP-00084","PRJ-026","NH-367 Expansion","Coimbatore","BEN-49761","9.84","163.79","163.79","11.63","2026-02-15","Partially Paid"
"CMP-00085","PRJ-027","NH-428 Expansion","Chennai","BEN-54136","9.32","183.13","183.13","183.13","2026-02-15","Fully Paid"
"CMP-00086","PRJ-027","NH-428 Expansion","Chennai","BEN-26529","9.32","183.13","183.13","183.13","2026-02-15","Fully Paid"
"CMP-00087","PRJ-027","NH-428 Expansion","Chennai","BEN-86494","9.32","183.13","183.13","183.13","2026-02-15","Fully Paid"
"CMP-00088","PRJ-028","NH-943 Expansion","Lucknow","BEN-43425","12.28","200.16","200.16","200.16","2026-02-15","Fully Paid"
"CMP-00089","PRJ-028","NH-943 Expansion","Lucknow","BEN-96821","12.28","200.16","200.16","200.16","2026-02-15","Fully Paid"
"CMP-00090","PRJ-028","NH-943 Expansion","Lucknow","BEN-15847","12.28","200.16","200.16","200.16","2026-02-15","Fully Paid"
"CMP-00091","PRJ-028","NH-943 Expansion","Lucknow","BEN-30103","12.28","200.16","200.16","200.16","2026-02-15","Fully Paid"
"CMP-00092","PRJ-029","NH-81 Expansion","Surat","BEN-42120","7.11","135.16","135.16","135.16","2026-02-15","Fully Paid"
"CMP-00093","PRJ-029","NH-81 Expansion","Surat","BEN-58157","7.11","135.16","135.16","135.16","2026-02-15","Fully Paid"
"CMP-00094","PRJ-029","NH-81 Expansion","Surat","BEN-60688","7.11","135.16","135.16","135.16","2026-02-15","Fully Paid"
"CMP-00095","PRJ-029","NH-81 Expansion","Surat","BEN-14453","7.11","135.16","135.16","135.16","2026-02-15","Fully Paid"
"CMP-00096","PRJ-030","NH-872 Expansion","Surat","BEN-19836","11.85","207.4","207.4","17.01","2026-02-15","Partially Paid"
"CMP-00097","PRJ-030","NH-872 Expansion","Surat","BEN-39395","11.85","207.4","207.4","17.01","2026-02-15","Partially Paid"
"CMP-00098","PRJ-031","RURAL ROAD-390","Pune","BEN-61486","3.02","75.4","75.4","71.63","2026-02-15","Partially Paid"
"CMP-00099","PRJ-031","RURAL ROAD-390","Pune","BEN-35630","3.02","75.4","75.4","71.63","2026-02-15","Partially Paid"
"CMP-00100","PRJ-032","NH-772 Expansion","Mumbai","BEN-79633","21.22","336.9","336.9","109.16","2026-02-15","Partially Paid"
"CMP-00101","PRJ-032","NH-772 Expansion","Mumbai","BEN-21687","21.22","336.9","336.9","109.16","2026-02-15","Partially Paid"
"CMP-00102","PRJ-033","NH-703 Expansion","Coimbatore","BEN-40160","9.61","192.22","192.22","9.61","2026-02-15","Partially Paid"
"CMP-00103","PRJ-033","NH-703 Expansion","Coimbatore","BEN-77542","9.61","192.22","192.22","9.61","2026-02-15","Partially Paid"
"CMP-00104","PRJ-033","NH-703 Expansion","Coimbatore","BEN-86547","9.61","192.22","192.22","9.61","2026-02-15","Partially Paid"
"CMP-00105","PRJ-033","NH-703 Expansion","Coimbatore","BEN-10862","9.61","192.22","192.22","9.61","2026-02-15","Partially Paid"
"CMP-00106","PRJ-034","RURAL ROAD-44","Coimbatore","BEN-53858","2.28","68.54","68.54","63.33","2026-02-15","Partially Paid"
"CMP-00107","PRJ-034","RURAL ROAD-44","Coimbatore","BEN-81587","2.28","68.54","68.54","63.33","2026-02-15","Partially Paid"
"CMP-00108","PRJ-034","RURAL ROAD-44","Coimbatore","BEN-52362","2.28","68.54","68.54","63.33","2026-02-15","Partially Paid"
"CMP-00109","PRJ-035","RURAL ROAD-446","Pune","BEN-83368","4.11","78.74","78.74","44.02","2026-02-15","Partially Paid"
"CMP-00110","PRJ-035","RURAL ROAD-446","Pune","BEN-66690","4.11","78.74","78.74","44.02","2026-02-15","Partially Paid"
"CMP-00111","PRJ-035","RURAL ROAD-446","Pune","BEN-59582","4.11","78.74","78.74","44.02","2026-02-15","Partially Paid"
"CMP-00112","PRJ-035","RURAL ROAD-446","Pune","BEN-36999","4.11","78.74","78.74","44.02","2026-02-15","Partially Paid"
"CMP-00113","PRJ-036","RURAL ROAD-351","Pune","BEN-50878","11.6","187.78","187.78","178.39","2026-02-15","Partially Paid"
"CMP-00114","PRJ-036","RURAL ROAD-351","Pune","BEN-51889","11.6","187.78","187.78","178.39","2026-02-15","Partially Paid"
"CMP-00115","PRJ-037","RURAL ROAD-456","Pune","BEN-60059","8.28","139.41","139.41","113.2","2026-02-15","Partially Paid"
"CMP-00116","PRJ-037","RURAL ROAD-456","Pune","BEN-21910","8.28","139.41","139.41","113.2","2026-02-15","Partially Paid"
"CMP-00117","PRJ-037","RURAL ROAD-456","Pune","BEN-86946","8.28","139.41","139.41","113.2","2026-02-15","Partially Paid"
"CMP-00118","PRJ-037","RURAL ROAD-456","Pune","BEN-29010","8.28","139.41","139.41","113.2","2026-02-15","Partially Paid"
"CMP-00119","PRJ-038","NH-252 Expansion","Lucknow","BEN-66834","6.71","84.52","84.52","80.29","2026-02-15","Partially Paid"
"CMP-00120","PRJ-038","NH-252 Expansion","Lucknow","BEN-76497","6.71","84.52","84.52","80.29","2026-02-15","Partially Paid"
"CMP-00121","PRJ-038","NH-252 Expansion","Lucknow","BEN-93172","6.71","84.52","84.52","80.29","2026-02-15","Partially Paid"
"CMP-00122","PRJ-038","NH-252 Expansion","Lucknow","BEN-26677","6.71","84.52","84.52","80.29","2026-02-15","Partially Paid"
"CMP-00123","PRJ-039","NH-296 Expansion","Chennai","BEN-86229","10.94","164.81","164.81","164.81","2026-02-15","Fully Paid"
"CMP-00124","PRJ-039","NH-296 Expansion","Chennai","BEN-40790","10.94","164.81","164.81","164.81","2026-02-15","Fully Paid"
"CMP-00125","PRJ-039","NH-296 Expansion","Chennai","BEN-74663","10.94","164.81","164.81","164.81","2026-02-15","Fully Paid"
"CMP-00126","PRJ-039","NH-296 Expansion","Chennai","BEN-26714","10.94","164.81","164.81","164.81","2026-02-15","Fully Paid"
"CMP-00127","PRJ-040","RURAL ROAD-237","Coimbatore","BEN-52647","6.37","107.63","107.63","15.5","2026-02-15","Partially Paid"
"CMP-00128","PRJ-040","RURAL ROAD-237","Coimbatore","BEN-92985","6.37","107.63","107.63","15.5","2026-02-15","Partially Paid"
"CMP-00129","PRJ-040","RURAL ROAD-237","Coimbatore","BEN-53131","6.37","107.63","107.63","15.5","2026-02-15","Partially Paid"
"CMP-00130","PRJ-041","NH-53 Expansion","Lucknow","BEN-71571","2.1","56.75","56.75","53.91","2026-02-15","Partially Paid"
"CMP-00131","PRJ-041","NH-53 Expansion","Lucknow","BEN-24096","2.1","56.75","56.75","53.91","2026-02-15","Partially Paid"
"CMP-00132","PRJ-041","NH-53 Expansion","Lucknow","BEN-14613","2.1","56.75","56.75","53.91","2026-02-15","Partially Paid"
"CMP-00133","PRJ-042","NH-217 Expansion","Pune","BEN-56648","8.12","138.12","138.12","131.21","2026-02-15","Partially Paid"
"CMP-00134","PRJ-042","NH-217 Expansion","Pune","BEN-39397","8.12","138.12","138.12","131.21","2026-02-15","Partially Paid"
"CMP-00135","PRJ-043","NH-380 Expansion","Coimbatore","BEN-76651","6.27","122.73","122.73","122.73","2026-02-15","Fully Paid"
"CMP-00136","PRJ-043","NH-380 Expansion","Coimbatore","BEN-40206","6.27","122.73","122.73","122.73","2026-02-15","Fully Paid"
"CMP-00137","PRJ-043","NH-380 Expansion","Coimbatore","BEN-73488","6.27","122.73","122.73","122.73","2026-02-15","Fully Paid"
"CMP-00138","PRJ-044","NH-157 Expansion","Lucknow","BEN-22686","22.42","279.92","279.92","109.73","2026-02-15","Partially Paid"
"CMP-00139","PRJ-044","NH-157 Expansion","Lucknow","BEN-78308","22.42","279.92","279.92","109.73","2026-02-15","Partially Paid"
"CMP-00140","PRJ-045","RURAL ROAD-65","Chennai","BEN-44152","11.8","159.8","159.8","32.6","2026-02-15","Partially Paid"
"CMP-00141","PRJ-045","RURAL ROAD-65","Chennai","BEN-18862","11.8","159.8","159.8","32.6","2026-02-15","Partially Paid"
"CMP-00142","PRJ-045","RURAL ROAD-65","Chennai","BEN-60508","11.8","159.8","159.8","32.6","2026-02-15","Partially Paid"
"CMP-00143","PRJ-046","NH-521 Expansion","Lucknow","BEN-28630","6.38","171.8","171.8","171.8","2026-02-15","Fully Paid"
"CMP-00144","PRJ-046","NH-521 Expansion","Lucknow","BEN-51836","6.38","171.8","171.8","171.8","2026-02-15","Fully Paid"
"CMP-00145","PRJ-046","NH-521 Expansion","Lucknow","BEN-66768","6.38","171.8","171.8","171.8","2026-02-15","Fully Paid"
"CMP-00146","PRJ-047","RURAL ROAD-492","Chennai","BEN-50427","12.22","241","241","93.75","2026-02-15","Partially Paid"
"CMP-00147","PRJ-047","RURAL ROAD-492","Chennai","BEN-86591","12.22","241","241","93.75","2026-02-15","Partially Paid"
"CMP-00148","PRJ-047","RURAL ROAD-492","Chennai","BEN-43153","12.22","241","241","93.75","2026-02-15","Partially Paid"
"CMP-00149","PRJ-047","RURAL ROAD-492","Chennai","BEN-74834","12.22","241","241","93.75","2026-02-15","Partially Paid"
"CMP-00150","PRJ-048","NH-63 Expansion","Pune","BEN-94349","14.5","243.5","243.5","21.43","2026-02-15","Partially Paid"
"CMP-00151","PRJ-048","NH-63 Expansion","Pune","BEN-77517","14.5","243.5","243.5","21.43","2026-02-15","Partially Paid"
"CMP-00152","PRJ-049","RURAL ROAD-81","Chennai","BEN-92880","13.8","255.32","255.32","141.96","2026-02-15","Partially Paid"
"CMP-00153","PRJ-049","RURAL ROAD-81","Chennai","BEN-14273","13.8","255.32","255.32","141.96","2026-02-15","Partially Paid"
"CMP-00154","PRJ-050","RURAL ROAD-419","Coimbatore","BEN-73490","23.2","561.95","561.95","223.66","2026-02-15","Partially Paid"
"CMP-00155","PRJ-050","RURAL ROAD-419","Coimbatore","BEN-59005","23.2","561.95","561.95","223.66","2026-02-15","Partially Paid"
