"id","projectId","surveyNumber","village","taluk","district","state","area","landType","ownershipType","lat","lng","acquisitionStatus","compensationStatus","possessionStatus","rrStatus","ownerCount"
"LP-0018-TN","PRJ-004","118/6A","Kallidaikurichi","Coimbatore North","Coimbatore","Tamil Nadu","14.21","Dry Land","Temple Land","10.89634","77.01255","Notified","Assessed","Pending","Eligible","4"
"LP-0019-TN","PRJ-004","220/5A","Pazhaverkadu","Coimbatore North","Coimbatore","Tamil Nadu","14.21","Dry Land","Assigned","11.03855","76.97081","Pending","Not Started","Pending","Eligible","4"
"LP-0020-MH","PRJ-005","552/5A","Keeladi","Mumbai Suburban","Mumbai","Maharashtra","13.96","Wetland","Inam","18.91978","72.67973","Proposed","Not Started","Pending","Eligible","4"
"LP-0021-MH","PRJ-005","148/8B","Kottur","Mumbai Suburban","Mumbai","Maharashtra","13.96","Garden Land","Temple Land","18.92755","72.99463","Notified","Assessed","Pending","Eligible","2"
"LP-0022-MH","PRJ-005","39/1B","Keezhkattalai","Mumbai Suburban","Mumbai","Maharashtra","13.96","Poramboke","Assigned","19.08553","72.96566","Proposed","Not Started","Pending","Eligible","5"
"LP-0023-MH","PRJ-005","534/3A","Kottur","Mumbai Suburban","Mumbai","Maharashtra","13.96","Residential","Wakf","19.25262","73.00219","Pending","Not Started","Pending","Eligible","4"
"LP-0024-MH","PRJ-005","480/8B","Therkku Poigainallur","Mumbai Suburban","Mumbai","Maharashtra","13.96","Residential","Wakf","19.19852","73.00332","Notified","Assessed","Pending","Eligible","3"
"LP-0025-MH","PRJ-005","125/3B","Keeladi","Mumbai Suburban","Mumbai","Maharashtra","13.96","Poramboke","Wakf","19.24324","72.70165","Pending","Not Started","Pending","Eligible","5"
"LP-0026-MH","PRJ-005","511/4A","Kallidaikurichi","Mumbai Suburban","Mumbai","Maharashtra","13.96","Wetland","Wakf","19.08095","73.06506","Proposed","Not Started","Pending","Eligible","1"
"LP-0027-KA","PRJ-006","92/1A","Kodiveri","Bengaluru South","Bengaluru","Karnataka","14.57","Poramboke","Inam","12.959","77.6686","Acquired","Fully Paid","Handover Completed","Completed","1"
"LP-0028-KA","PRJ-006","380/7A","Kottur","Bengaluru South","Bengaluru","Karnataka","14.57","Commercial","Inam","12.88556","77.50697","Acquired","Fully Paid","Handover Completed","Completed","3"
"LP-0029-KA","PRJ-006","336/1A","Manamadurai","Bengaluru South","Bengaluru","Karnataka","14.57","Garden Land","Assigned","13.01295","77.58568","Acquired","Fully Paid","Handover Completed","Completed","5"
"LP-0030-TN","PRJ-007","518/1B","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","11.5","Commercial","Private Patta","10.86668","77.15164","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0031-TN","PRJ-007","82/3A","Therkku Poigainallur","Coimbatore North","Coimbatore","Tamil Nadu","11.5","Dry Land","Private Patta","11.07635","77.00664","Acquired","Fully Paid","Handover Completed","Completed","3"
"LP-0032-TN","PRJ-007","57/5B","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","11.5","Poramboke","Inam","11.0117","76.95844","Acquired","Fully Paid","Handover Completed","Completed","1"
"LP-0033-TN","PRJ-007","568/3B","Keezhkattalai","Coimbatore North","Coimbatore","Tamil Nadu","11.5","Commercial","Wakf","11.00096","77.07587","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0034-TN","PRJ-007","370/5A","Melmaruvathur","Coimbatore North","Coimbatore","Tamil Nadu","11.5","Wetland","Government","11.18361","76.99728","Acquired","Fully Paid","Handover Completed","Completed","1"
"LP-0035-TN","PRJ-007","489/8A","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","11.5","Dry Land","Inam","11.10697","76.95209","Acquired","Fully Paid","Handover Completed","Completed","1"
"LP-0036-TN","PRJ-007","94/8A","Vadakkukarai","Coimbatore North","Coimbatore","Tamil Nadu","11.5","Garden Land","Inam","10.83314","76.82684","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0037-MH","PRJ-008","448/8A","Keeladi","Haveli","Pune","Maharashtra","15.35","Garden Land","Inam","18.60089","73.91848","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0038-MH","PRJ-008","568/6B","Therkku Poigainallur","Haveli","Pune","Maharashtra","15.35","Wetland","Temple Land","18.53571","73.90956","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0039-MH","PRJ-008","230/5A","Sulthanpet","Haveli","Pune","Maharashtra","15.35","Commercial","Inam","18.33099","73.89306","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0040-MH","PRJ-008","231/5A","Pazhaverkadu","Haveli","Pune","Maharashtra","15.35","Wetland","Private Patta","18.68213","73.97745","Notified","Assessed","Pending","Eligible","5"
"LP-0041-MH","PRJ-008","593/6B","Vadakkukarai","Haveli","Pune","Maharashtra","15.35","Garden Land","Inam","18.35115","73.98026","Notified","Assessed","Pending","Eligible","4"
"LP-0042-MH","PRJ-008","404/8B","Melmaruvathur","Haveli","Pune","Maharashtra","15.35","Residential","Private Patta","18.63716","73.87321","Notified","Assessed","Pending","Eligible","3"
"LP-0043-UP","PRJ-009","192/7A","Melmaruvathur","Sarojini Nagar","Lucknow","Uttar Pradesh","8.73","Residential","Government","26.75695","81.01411","Disputed","Not Started","Pending","Eligible","1"
"LP-0044-UP","PRJ-009","402/5B","Keezhkattalai","Sarojini Nagar","Lucknow","Uttar Pradesh","8.73","Residential","Inam","26.81647","81.08605","Notified","Assessed","Pending","Eligible","3"
"LP-0045-UP","PRJ-009","452/2B","Therkku Poigainallur","Sarojini Nagar","Lucknow","Uttar Pradesh","8.73","Residential","Temple Land","26.84936","80.78188","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0046-TN","PRJ-010","498/4B","Kodiveri","Coimbatore North","Coimbatore","Tamil Nadu","16.38","Poramboke","Wakf","10.834","77.14674","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0047-TN","PRJ-010","398/6A","Sulthanpet","Coimbatore North","Coimbatore","Tamil Nadu","16.38","Garden Land","Assigned","11.18638","76.80037","Notified","Assessed","Pending","Eligible","4"
"LP-0048-TN","PRJ-010","275/4B","Devikapuram","Coimbatore North","Coimbatore","Tamil Nadu","16.38","Wetland","Wakf","10.87537","77.07278","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0049-TN","PRJ-010","440/2B","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","16.38","Dry Land","Temple Land","11.00588","77.08584","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0050-TN","PRJ-010","94/7A","Nallur","Coimbatore North","Coimbatore","Tamil Nadu","16.38","Wetland","Inam","10.84471","77.09424","Notified","Assessed","Pending","Eligible","5"
"LP-0051-TN","PRJ-011","41/6B","Kodiveri","Coimbatore North","Coimbatore","Tamil Nadu","13","Commercial","Inam","10.8408","76.87268","Disputed","Not Started","Pending","Eligible","1"
"LP-0052-TN","PRJ-011","451/3A","Keeladi","Coimbatore North","Coimbatore","Tamil Nadu","13","Garden Land","Inam","11.1392","77.10866","Pending","Not Started","Pending","Eligible","3"
"LP-0053-TN","PRJ-011","344/2B","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","13","Residential","Inam","11.02786","77.06303","Notified","Assessed","Pending","Eligible","5"
"LP-0054-TN","PRJ-011","406/7A","Vadakkukarai","Coimbatore North","Coimbatore","Tamil Nadu","13","Wetland","Inam","10.86506","76.81758","Pending","Not Started","Pending","Eligible","5"
"LP-0055-TN","PRJ-011","529/5A","Vadakkukarai","Coimbatore North","Coimbatore","Tamil Nadu","13","Commercial","Assigned","11.0045","76.95319","Pending","Not Started","Pending","Eligible","3"
"LP-0056-TN","PRJ-011","337/1B","Alampatti","Coimbatore North","Coimbatore","Tamil Nadu","13","Residential","Wakf","11.12902","76.99765","Pending","Not Started","Pending","Eligible","4"
"LP-0057-KA","PRJ-012","456/1B","Nallur","Bengaluru South","Bengaluru","Karnataka","8.67","Poramboke","Wakf","12.80458","77.57947","Notified","Assessed","Pending","Eligible","2"
"LP-0058-KA","PRJ-012","449/2B","Therkku Poigainallur","Bengaluru South","Bengaluru","Karnataka","8.67","Garden Land","Assigned","12.8652","77.58155","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0059-KA","PRJ-012","435/5B","Vadakkukarai","Bengaluru South","Bengaluru","Karnataka","8.67","Dry Land","Temple Land","13.11528","77.6593","Notified","Assessed","Pending","Eligible","2"
"LP-0060-MH","PRJ-013","131/3A","Keezhkattalai","Mumbai Suburban","Mumbai","Maharashtra","9.7","Dry Land","Assigned","18.94292","73.01709","Disputed","Not Started","Pending","Eligible","5"
"LP-0061-MH","PRJ-013","350/4A","Devikapuram","Mumbai Suburban","Mumbai","Maharashtra","9.7","Wetland","Private Patta","18.93344","72.85782","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0062-MH","PRJ-013","589/2B","Therkku Poigainallur","Mumbai Suburban","Mumbai","Maharashtra","9.7","Wetland","Assigned","18.97373","73.02807","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0063-MH","PRJ-013","582/7A","Melmaruvathur","Mumbai Suburban","Mumbai","Maharashtra","9.7","Dry Land","Government","19.25518","72.96039","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0064-MH","PRJ-013","237/7A","Vadakkukarai","Mumbai Suburban","Mumbai","Maharashtra","9.7","Garden Land","Temple Land","19.02073","72.82922","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0065-MH","PRJ-013","445/1A","Kodiveri","Mumbai Suburban","Mumbai","Maharashtra","9.7","Wetland","Wakf","19.02289","72.7494","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0066-MH","PRJ-013","261/3A","Devikapuram","Mumbai Suburban","Mumbai","Maharashtra","9.7","Wetland","Assigned","18.94526","72.73015","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0067-MH","PRJ-014","135/8A","Devikapuram","Mumbai Suburban","Mumbai","Maharashtra","15","Commercial","Government","19.13041","72.87403","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0068-MH","PRJ-014","146/1A","Kallidaikurichi","Mumbai Suburban","Mumbai","Maharashtra","15","Poramboke","Assigned","18.9335","73.0497","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0069-MH","PRJ-014","158/5A","Keeladi","Mumbai Suburban","Mumbai","Maharashtra","15","Dry Land","Wakf","18.93453","72.71128","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0070-MH","PRJ-014","596/2A","Therkku Poigainallur","Mumbai Suburban","Mumbai","Maharashtra","15","Residential","Assigned","19.10392","72.91098","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0071-MH","PRJ-014","83/3B","Keezhkattalai","Mumbai Suburban","Mumbai","Maharashtra","15","Wetland","Inam","19.2644","72.91867","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0072-MH","PRJ-014","62/2A","Thenkudi","Mumbai Suburban","Mumbai","Maharashtra","15","Residential","Assigned","19.20014","73.07231","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0073-TN","PRJ-015","338/3B","Kallidaikurichi","Guindy","Chennai","Tamil Nadu","12.42","Garden Land","Assigned","13.2057","80.16926","Pending","Not Started","Pending","Eligible","2"
"LP-0074-TN","PRJ-015","166/7B","Pazhaverkadu","Guindy","Chennai","Tamil Nadu","12.42","Commercial","Temple Land","13.02964","80.38475","Pending","Not Started","Pending","Eligible","4"
"LP-0075-TN","PRJ-015","102/5B","Vadakkukarai","Guindy","Chennai","Tamil Nadu","12.42","Commercial","Government","13.07398","80.24819","Proposed","Not Started","Pending","Eligible","1"
"LP-0076-TN","PRJ-015","269/8A","Kottur","Guindy","Chennai","Tamil Nadu","12.42","Poramboke","Temple Land","13.12493","80.31767","Proposed","Not Started","Pending","Eligible","4"
"LP-0077-KA","PRJ-016","236/1A","Kodiveri","Bengaluru South","Bengaluru","Karnataka","12.53","Garden Land","Temple Land","12.85698","77.50698","Disputed","Not Started","Pending","Eligible","3"
"LP-0078-KA","PRJ-016","176/5A","Manamadurai","Bengaluru South","Bengaluru","Karnataka","12.53","Dry Land","Assigned","12.93857","77.41249","Notified","Assessed","Pending","Eligible","4"
"LP-0079-KA","PRJ-016","125/2A","Manamadurai","Bengaluru South","Bengaluru","Karnataka","12.53","Dry Land","Private Patta","13.16071","77.42514","Proposed","Not Started","Pending","Eligible","2"
"LP-0080-MH","PRJ-017","79/1B","Manamadurai","Haveli","Pune","Maharashtra","18.3","Commercial","Government","18.3238","73.78259","Notified","Assessed","Pending","Eligible","3"
"LP-0081-MH","PRJ-017","454/6A","Kottur","Haveli","Pune","Maharashtra","18.3","Garden Land","Wakf","18.63168","73.7442","Proposed","Not Started","Pending","Eligible","3"
"LP-0082-MH","PRJ-017","341/1A","Pazhaverkadu","Haveli","Pune","Maharashtra","18.3","Garden Land","Temple Land","18.58827","73.97328","Pending","Not Started","Pending","Eligible","2"
"LP-0083-MH","PRJ-017","384/5B","Pazhaverkadu","Haveli","Pune","Maharashtra","18.3","Dry Land","Temple Land","18.44944","73.74951","Proposed","Not Started","Pending","Eligible","1"
"LP-0084-MH","PRJ-017","165/1A","Devikapuram","Haveli","Pune","Maharashtra","18.3","Dry Land","Government","18.45442","73.75218","Notified","Assessed","Pending","Eligible","5"
"LP-0085-MH","PRJ-018","497/8B","Nallur","Mumbai Suburban","Mumbai","Maharashtra","8.61","Poramboke","Private Patta","19.27061","72.73155","Notified","Assessed","Pending","Eligible","5"
"LP-0086-MH","PRJ-018","298/5B","Melmaruvathur","Mumbai Suburban","Mumbai","Maharashtra","8.61","Commercial","Temple Land","19.16509","73.04011","Notified","Assessed","Pending","Eligible","3"
"LP-0087-MH","PRJ-018","120/3A","Kodiveri","Mumbai Suburban","Mumbai","Maharashtra","8.61","Wetland","Private Patta","19.01918","72.77612","Notified","Assessed","Pending","Eligible","4"
"LP-0088-MH","PRJ-018","565/2B","Kodiveri","Mumbai Suburban","Mumbai","Maharashtra","8.61","Wetland","Temple Land","19.22878","72.79803","Pending","Not Started","Pending","Eligible","5"
"LP-0089-MH","PRJ-018","335/7B","Keezhkattalai","Mumbai Suburban","Mumbai","Maharashtra","8.61","Poramboke","Temple Land","19.20452","72.99648","Proposed","Not Started","Pending","Eligible","5"
"LP-0090-MH","PRJ-018","71/3A","Kottur","Mumbai Suburban","Mumbai","Maharashtra","8.61","Commercial","Temple Land","19.21106","72.73107","Proposed","Not Started","Pending","Eligible","4"
"LP-0091-MH","PRJ-018","416/6A","Kallidaikurichi","Mumbai Suburban","Mumbai","Maharashtra","8.61","Wetland","Government","19.15571","72.72594","Proposed","Not Started","Pending","Eligible","1"
"LP-0092-UP","PRJ-019","368/5A","Kodiveri","Sarojini Nagar","Lucknow","Uttar Pradesh","19.9","Wetland","Assigned","26.96262","81.09976","Disputed","Not Started","Pending","Eligible","4"
"LP-0093-UP","PRJ-019","131/2B","Kodiveri","Sarojini Nagar","Lucknow","Uttar Pradesh","19.9","Poramboke","Assigned","26.93533","80.86251","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0094-UP","PRJ-019","559/7A","Nallur","Sarojini Nagar","Lucknow","Uttar Pradesh","19.9","Wetland","Temple Land","26.8061","81.13601","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0095-UP","PRJ-019","51/4A","Vadakkukarai","Sarojini Nagar","Lucknow","Uttar Pradesh","19.9","Garden Land","Private Patta","26.76209","80.78831","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0096-UP","PRJ-019","280/3B","Pazhaverkadu","Sarojini Nagar","Lucknow","Uttar Pradesh","19.9","Poramboke","Temple Land","26.83388","81.03482","Notified","Assessed","Pending","Eligible","4"
"LP-0097-KA","PRJ-020","187/3A","Nallur","Bengaluru South","Bengaluru","Karnataka","12.28","Commercial","Wakf","12.99725","77.5282","Disputed","Not Started","Pending","Eligible","5"
"LP-0098-KA","PRJ-020","303/6A","Alampatti","Bengaluru South","Bengaluru","Karnataka","12.28","Poramboke","Private Patta","12.96906","77.4348","Notified","Assessed","Pending","Eligible","2"
"LP-0099-KA","PRJ-020","365/5B","Manamadurai","Bengaluru South","Bengaluru","Karnataka","12.28","Garden Land","Temple Land","12.93929","77.6484","Pending","Not Started","Pending","Eligible","5"
"LP-0100-KA","PRJ-020","20/2B","Thenkudi","Bengaluru South","Bengaluru","Karnataka","12.28","Dry Land","Assigned","12.81098","77.57899","Pending","Not Started","Pending","Eligible","3"
"LP-0101-TN","PRJ-021","64/1A","Kodiveri","Coimbatore North","Coimbatore","Tamil Nadu","5.85","Commercial","Temple Land","10.83096","76.84874","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0102-TN","PRJ-021","264/6B","Vadakkukarai","Coimbatore North","Coimbatore","Tamil Nadu","5.85","Commercial","Private Patta","10.89474","76.75795","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0103-TN","PRJ-021","575/7A","Thenkudi","Coimbatore North","Coimbatore","Tamil Nadu","5.85","Commercial","Wakf","10.88997","77.09477","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0104-TN","PRJ-021","102/1A","Kodiveri","Coimbatore North","Coimbatore","Tamil Nadu","5.85","Dry Land","Wakf","11.11293","77.05759","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0105-UP","PRJ-022","190/8A","Thenkudi","Sarojini Nagar","Lucknow","Uttar Pradesh","9.8","Dry Land","Wakf","26.66454","81.12598","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0106-UP","PRJ-022","511/8B","Manamadurai","Sarojini Nagar","Lucknow","Uttar Pradesh","9.8","Residential","Inam","27.02402","80.97249","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0107-UP","PRJ-022","410/2A","Sulthanpet","Sarojini Nagar","Lucknow","Uttar Pradesh","9.8","Poramboke","Assigned","27.01139","81.12995","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0108-UP","PRJ-023","365/7B","Keeladi","Sarojini Nagar","Lucknow","Uttar Pradesh","12.5","Dry Land","Temple Land","26.70405","80.90556","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0109-UP","PRJ-023","567/6A","Alampatti","Sarojini Nagar","Lucknow","Uttar Pradesh","12.5","Wetland","Inam","27.00024","80.8473","Notified","Assessed","Pending","Eligible","5"
"LP-0110-UP","PRJ-023","499/3B","Keeladi","Sarojini Nagar","Lucknow","Uttar Pradesh","12.5","Residential","Temple Land","26.83688","80.74955","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0111-UP","PRJ-023","112/7B","Sulthanpet","Sarojini Nagar","Lucknow","Uttar Pradesh","12.5","Commercial","Inam","26.91154","80.90808","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0112-TN","PRJ-024","154/7A","Thenkudi","Coimbatore North","Coimbatore","Tamil Nadu","12.32","Dry Land","Temple Land","11.08767","76.9646","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0113-TN","PRJ-024","139/5A","Melmaruvathur","Coimbatore North","Coimbatore","Tamil Nadu","12.32","Residential","Wakf","11.20553","77.06504","Notified","Assessed","Pending","Eligible","1"
"LP-0114-TN","PRJ-024","282/1B","Pazhaverkadu","Coimbatore North","Coimbatore","Tamil Nadu","12.32","Garden Land","Private Patta","11.00814","76.91558","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0115-TN","PRJ-024","414/3B","Nallur","Coimbatore North","Coimbatore","Tamil Nadu","12.32","Garden Land","Wakf","10.89245","77.05281","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0116-TN","PRJ-024","378/1B","Vadakkukarai","Coimbatore North","Coimbatore","Tamil Nadu","12.32","Poramboke","Private Patta","11.04479","77.03627","Notified","Assessed","Pending","Eligible","4"
"LP-0117-TN","PRJ-024","500/4B","Nallur","Coimbatore North","Coimbatore","Tamil Nadu","12.32","Commercial","Government","11.15995","76.76292","Notified","Assessed","Pending","Eligible","5"
"LP-0118-KA","PRJ-025","475/5B","Keezhkattalai","Bengaluru South","Bengaluru","Karnataka","4.4","Dry Land","Temple Land","13.07592","77.54848","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0119-KA","PRJ-025","64/7B","Kodiveri","Bengaluru South","Bengaluru","Karnataka","4.4","Garden Land","Temple Land","13.14236","77.61815","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0120-KA","PRJ-025","359/6B","Sulthanpet","Bengaluru South","Bengaluru","Karnataka","4.4","Poramboke","Government","13.08258","77.48502","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0121-TN","PRJ-026","347/8A","Vadakkukarai","Coimbatore North","Coimbatore","Tamil Nadu","15.74","Commercial","Assigned","11.20603","76.90326","Notified","Assessed","Pending","Eligible","1"
"LP-0122-TN","PRJ-026","286/4A","Alampatti","Coimbatore North","Coimbatore","Tamil Nadu","15.74","Commercial","Temple Land","11.04459","76.83307","Pending","Not Started","Pending","Eligible","2"
"LP-0123-TN","PRJ-026","229/1B","Thenkudi","Coimbatore North","Coimbatore","Tamil Nadu","15.74","Residential","Private Patta","11.09999","77.05149","Notified","Assessed","Pending","Eligible","2"
"LP-0124-TN","PRJ-026","487/4A","Kottur","Coimbatore North","Coimbatore","Tamil Nadu","15.74","Commercial","Government","11.12984","77.07932","Notified","Assessed","Pending","Eligible","2"
"LP-0125-TN","PRJ-026","145/1B","Kallidaikurichi","Coimbatore North","Coimbatore","Tamil Nadu","15.74","Wetland","Government","11.08791","77.08238","Notified","Assessed","Pending","Eligible","1"
"LP-0126-TN","PRJ-027","430/5B","Alampatti","Guindy","Chennai","Tamil Nadu","13.98","Residential","Private Patta","13.02867","80.40279","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0127-TN","PRJ-027","172/4A","Kallidaikurichi","Guindy","Chennai","Tamil Nadu","13.98","Commercial","Temple Land","12.88787","80.10119","Acquired","Fully Paid","Handover Completed","Completed","5"
"LP-0128-TN","PRJ-027","282/2A","Devikapuram","Guindy","Chennai","Tamil Nadu","13.98","Poramboke","Private Patta","13.12554","80.23047","Acquired","Fully Paid","Handover Completed","Completed","3"
"LP-0129-TN","PRJ-027","227/8B","Kallidaikurichi","Guindy","Chennai","Tamil Nadu","13.98","Garden Land","Private Patta","13.09147","80.24988","Acquired","Fully Paid","Handover Completed","Completed","3"
"LP-0130-UP","PRJ-028","345/4B","Therkku Poigainallur","Sarojini Nagar","Lucknow","Uttar Pradesh","19.64","Residential","Government","26.90576","80.87073","Acquired","Fully Paid","Handover Completed","Completed","3"
"LP-0131-UP","PRJ-028","254/2A","Sulthanpet","Sarojini Nagar","Lucknow","Uttar Pradesh","19.64","Garden Land","Inam","26.68079","80.91632","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0132-UP","PRJ-028","508/2A","Kodiveri","Sarojini Nagar","Lucknow","Uttar Pradesh","19.64","Dry Land","Inam","26.95593","80.95047","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0133-UP","PRJ-028","311/3B","Nallur","Sarojini Nagar","Lucknow","Uttar Pradesh","19.64","Residential","Inam","26.95923","80.82488","Acquired","Fully Paid","Handover Completed","Completed","3"
"LP-0134-UP","PRJ-028","526/5A","Sulthanpet","Sarojini Nagar","Lucknow","Uttar Pradesh","19.64","Dry Land","Wakf","26.82841","80.9739","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0135-GJ","PRJ-029","51/5A","Kallidaikurichi","Chorasi","Surat","Gujarat","18.97","Wetland","Assigned","21.02289","72.76497","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0136-GJ","PRJ-029","93/8B","Keezhkattalai","Chorasi","Surat","Gujarat","18.97","Commercial","Inam","21.341","72.93327","Acquired","Fully Paid","Handover Completed","Completed","1"
"LP-0137-GJ","PRJ-029","376/3A","Melmaruvathur","Chorasi","Surat","Gujarat","18.97","Wetland","Temple Land","21.18503","72.76312","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0138-GJ","PRJ-030","60/1A","Therkku Poigainallur","Chorasi","Surat","Gujarat","11.85","Commercial","Temple Land","21.05218","72.97747","Notified","Assessed","Pending","Eligible","3"
