"id","projectId","stage","plannedDate","actualDate","authority","status","delayDays","remarks"
"MS-00022","PRJ-003","Notification","2025-11-15","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00023","PRJ-003","Award","2025-11-15","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00024","PRJ-003","Compensation","2025-11-15",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00025","PRJ-003","Possession","2025-11-15",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00026","PRJ-003","R&R","2025-11-15",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00027","PRJ-003","Completion","2025-11-15",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00028","PRJ-004","Proposal","2025-10-02","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00029","PRJ-004","Scrutiny","2025-10-02","2025-10-15","District Authority","Delayed","57","Delayed by 57 days during inter-departmental verification."
"MS-00030","PRJ-004","Approval","2025-10-02","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00031","PRJ-004","Notification","2025-10-02","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00032","PRJ-004","Award","2025-10-02",,"Land Acquisition Officer","In Progress","0","Active statutory stage."
"MS-00033","PRJ-004","Compensation","2025-10-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00034","PRJ-004","Possession","2025-10-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00035","PRJ-004","R&R","2025-10-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00036","PRJ-004","Completion","2025-10-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00037","PRJ-005","Proposal","2025-04-02","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00038","PRJ-005","Scrutiny","2025-04-02","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00039","PRJ-005","Approval","2025-04-02","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00040","PRJ-005","Notification","2025-04-02","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00041","PRJ-005","Award","2025-04-02",,"Land Acquisition Officer","In Progress","0","Active statutory stage."
"MS-00042","PRJ-005","Compensation","2025-04-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00043","PRJ-005","Possession","2025-04-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00044","PRJ-005","R&R","2025-04-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00045","PRJ-005","Completion","2025-04-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00046","PRJ-006","Proposal","2025-02-27","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00047","PRJ-006","Scrutiny","2025-02-27","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00048","PRJ-006","Approval","2025-02-27","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00049","PRJ-006","Notification","2025-02-27","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00050","PRJ-006","Award","2025-02-27","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00051","PRJ-006","Compensation","2025-02-27","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00052","PRJ-006","Possession","2025-02-27","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00053","PRJ-006","R&R","2025-02-27","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00054","PRJ-006","Completion","2025-02-27","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00055","PRJ-007","Proposal","2025-12-12","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00056","PRJ-007","Scrutiny","2025-12-12","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00057","PRJ-007","Approval","2025-12-12","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00058","PRJ-007","Notification","2025-12-12","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00059","PRJ-007","Award","2025-12-12","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00060","PRJ-007","Compensation","2025-12-12","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00061","PRJ-007","Possession","2025-12-12","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00062","PRJ-007","R&R","2025-12-12","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00063","PRJ-007","Completion","2025-12-12","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00064","PRJ-008","Proposal","2025-08-17","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00065","PRJ-008","Scrutiny","2025-08-17","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00066","PRJ-008","Approval","2025-08-17","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00067","PRJ-008","Notification","2025-08-17","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00068","PRJ-008","Award","2025-08-17","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00069","PRJ-008","Compensation","2025-08-17",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00070","PRJ-008","Possession","2025-08-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00071","PRJ-008","R&R","2025-08-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00072","PRJ-008","Completion","2025-08-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00073","PRJ-009","Proposal","2025-04-27","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00074","PRJ-009","Scrutiny","2025-04-27","2025-10-15","District Authority","Delayed","54","Delayed by 54 days during inter-departmental verification."
"MS-00075","PRJ-009","Approval","2025-04-27","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00076","PRJ-009","Notification","2025-04-27","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00077","PRJ-009","Award","2025-04-27","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00078","PRJ-009","Compensation","2025-04-27","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00079","PRJ-009","Possession","2025-04-27",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00080","PRJ-009","R&R","2025-04-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00081","PRJ-009","Completion","2025-04-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00082","PRJ-010","Proposal","2025-11-14","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00083","PRJ-010","Scrutiny","2025-11-14","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00084","PRJ-010","Approval","2025-11-14",,"State Government","In Progress","0","Active statutory stage."
"MS-00085","PRJ-010","Notification","2025-11-14",,"Central Ministry","Pending","0","Scheduled as per project implementation plan."
"MS-00086","PRJ-010","Award","2025-11-14",,"Land Acquisition Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00087","PRJ-010","Compensation","2025-11-14",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00088","PRJ-010","Possession","2025-11-14",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00089","PRJ-010","R&R","2025-11-14",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00090","PRJ-010","Completion","2025-11-14",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00091","PRJ-011","Proposal","2025-10-06","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00092","PRJ-011","Scrutiny","2025-10-06","2025-10-15","District Authority","Delayed","46","Delayed by 46 days during inter-departmental verification."
"MS-00093","PRJ-011","Approval","2025-10-06","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00094","PRJ-011","Notification","2025-10-06",,"Central Ministry","In Progress","0","Active statutory stage."
"MS-00095","PRJ-011","Award","2025-10-06",,"Land Acquisition Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00096","PRJ-011","Compensation","2025-10-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00097","PRJ-011","Possession","2025-10-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00098","PRJ-011","R&R","2025-10-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00099","PRJ-011","Completion","2025-10-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00100","PRJ-012","Proposal","2025-05-07","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00101","PRJ-012","Scrutiny","2025-05-07","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00102","PRJ-012","Approval","2025-05-07","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00103","PRJ-012","Notification","2025-05-07","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00104","PRJ-012","Award","2025-05-07","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00105","PRJ-012","Compensation","2025-05-07","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00106","PRJ-012","Possession","2025-05-07","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00107","PRJ-012","R&R","2025-05-07",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00108","PRJ-012","Completion","2025-05-07",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00109","PRJ-013","Proposal","2025-05-09","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00110","PRJ-013","Scrutiny","2025-05-09","2025-10-15","District Authority","Delayed","53","Delayed by 53 days during inter-departmental verification."
"MS-00111","PRJ-013","Approval","2025-05-09","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00112","PRJ-013","Notification","2025-05-09","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00113","PRJ-013","Award","2025-05-09","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00114","PRJ-013","Compensation","2025-05-09","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00115","PRJ-013","Possession","2025-05-09",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00116","PRJ-013","R&R","2025-05-09",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00117","PRJ-013","Completion","2025-05-09",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00118","PRJ-014","Proposal","2025-02-27","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00119","PRJ-014","Scrutiny","2025-02-27","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00120","PRJ-014","Approval","2025-02-27","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00121","PRJ-014","Notification","2025-02-27","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00122","PRJ-014","Award","2025-02-27","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00123","PRJ-014","Compensation","2025-02-27","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00124","PRJ-014","Possession","2025-02-27",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00125","PRJ-014","R&R","2025-02-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00126","PRJ-014","Completion","2025-02-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00127","PRJ-015","Proposal","2025-05-02","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00128","PRJ-015","Scrutiny","2025-05-02","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00129","PRJ-015","Approval","2025-05-02","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00130","PRJ-015","Notification","2025-05-02","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00131","PRJ-015","Award","2025-05-02","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00132","PRJ-015","Compensation","2025-05-02",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00133","PRJ-015","Possession","2025-05-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00134","PRJ-015","R&R","2025-05-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00135","PRJ-015","Completion","2025-05-02",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00136","PRJ-016","Proposal","2025-01-01","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00137","PRJ-016","Scrutiny","2025-01-01","2025-10-15","District Authority","Delayed","36","Delayed by 36 days during inter-departmental verification."
"MS-00138","PRJ-016","Approval","2025-01-01","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00139","PRJ-016","Notification","2025-01-01","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00140","PRJ-016","Award","2025-01-01","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00141","PRJ-016","Compensation","2025-01-01",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00142","PRJ-016","Possession","2025-01-01",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00143","PRJ-016","R&R","2025-01-01",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00144","PRJ-016","Completion","2025-01-01",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00145","PRJ-017","Proposal","2025-08-27","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00146","PRJ-017","Scrutiny","2025-08-27","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00147","PRJ-017","Approval","2025-08-27","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00148","PRJ-017","Notification","2025-08-27","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00149","PRJ-017","Award","2025-08-27",,"Land Acquisition Officer","In Progress","0","Active statutory stage."
"MS-00150","PRJ-017","Compensation","2025-08-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00151","PRJ-017","Possession","2025-08-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00152","PRJ-017","R&R","2025-08-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00153","PRJ-017","Completion","2025-08-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00154","PRJ-018","Proposal","2025-10-17","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00155","PRJ-018","Scrutiny","2025-10-17","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00156","PRJ-018","Approval","2025-10-17","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00157","PRJ-018","Notification","2025-10-17","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00158","PRJ-018","Award","2025-10-17","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00159","PRJ-018","Compensation","2025-10-17",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00160","PRJ-018","Possession","2025-10-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00161","PRJ-018","R&R","2025-10-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00162","PRJ-018","Completion","2025-10-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00163","PRJ-019","Proposal","2025-04-06","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00164","PRJ-019","Scrutiny","2025-04-06","2025-10-15","District Authority","Delayed","48","Delayed by 48 days during inter-departmental verification."
"MS-00165","PRJ-019","Approval","2025-04-06","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00166","PRJ-019","Notification","2025-04-06","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00167","PRJ-019","Award","2025-04-06","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00168","PRJ-019","Compensation","2025-04-06",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00169","PRJ-019","Possession","2025-04-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00170","PRJ-019","R&R","2025-04-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00171","PRJ-019","Completion","2025-04-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00172","PRJ-020","Proposal","2025-05-06","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00173","PRJ-020","Scrutiny","2025-05-06","2025-10-15","District Authority","Delayed","43","Delayed by 43 days during inter-departmental verification."
"MS-00174","PRJ-020","Approval","2025-05-06","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00175","PRJ-020","Notification","2025-05-06","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00176","PRJ-020","Award","2025-05-06","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00177","PRJ-020","Compensation","2025-05-06",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00178","PRJ-020","Possession","2025-05-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00179","PRJ-020","R&R","2025-05-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00180","PRJ-020","Completion","2025-05-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00181","PRJ-021","Proposal","2025-04-28","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00182","PRJ-021","Scrutiny","2025-04-28","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00183","PRJ-021","Approval","2025-04-28",,"State Government","In Progress","0","Active statutory stage."
"MS-00184","PRJ-021","Notification","2025-04-28",,"Central Ministry","Pending","0","Scheduled as per project implementation plan."
"MS-00185","PRJ-021","Award","2025-04-28",,"Land Acquisition Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00186","PRJ-021","Compensation","2025-04-28",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00187","PRJ-021","Possession","2025-04-28",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00188","PRJ-021","R&R","2025-04-28",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00189","PRJ-021","Completion","2025-04-28",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00190","PRJ-022","Proposal","2025-02-17","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00191","PRJ-022","Scrutiny","2025-02-17","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00192","PRJ-022","Approval","2025-02-17",,"State Government","In Progress","0","Active statutory stage."
"MS-00193","PRJ-022","Notification","2025-02-17",,"Central Ministry","Pending","0","Scheduled as per project implementation plan."
"MS-00194","PRJ-022","Award","2025-02-17",,"Land Acquisition Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00195","PRJ-022","Compensation","2025-02-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00196","PRJ-022","Possession","2025-02-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00197","PRJ-022","R&R","2025-02-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00198","PRJ-022","Completion","2025-02-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00199","PRJ-023","Proposal","2025-03-30","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00200","PRJ-023","Scrutiny","2025-03-30","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00201","PRJ-023","Approval","2025-03-30","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00202","PRJ-023","Notification","2025-03-30","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00203","PRJ-023","Award","2025-03-30","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00204","PRJ-023","Compensation","2025-03-30","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00205","PRJ-023","Possession","2025-03-30","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00206","PRJ-023","R&R","2025-03-30",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00207","PRJ-023","Completion","2025-03-30",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00208","PRJ-024","Proposal","2025-08-25","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00209","PRJ-024","Scrutiny","2025-08-25","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00210","PRJ-024","Approval","2025-08-25","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00211","PRJ-024","Notification","2025-08-25","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00212","PRJ-024","Award","2025-08-25","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00213","PRJ-024","Compensation","2025-08-25","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00214","PRJ-024","Possession","2025-08-25",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00215","PRJ-024","R&R","2025-08-25",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00216","PRJ-024","Completion","2025-08-25",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00217","PRJ-025","Proposal","2025-09-29","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00218","PRJ-025","Scrutiny","2025-09-29","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00219","PRJ-025","Approval","2025-09-29","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00220","PRJ-025","Notification","2025-09-29","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00221","PRJ-025","Award","2025-09-29","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00222","PRJ-025","Compensation","2025-09-29","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00223","PRJ-025","Possession","2025-09-29","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00224","PRJ-025","R&R","2025-09-29",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00225","PRJ-025","Completion","2025-09-29",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00226","PRJ-026","Proposal","2025-07-08","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00227","PRJ-026","Scrutiny","2025-07-08","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00228","PRJ-026","Approval","2025-07-08",,"State Government","In Progress","0","Active statutory stage."
"MS-00229","PRJ-026","Notification","2025-07-08",,"Central Ministry","Pending","0","Scheduled as per project implementation plan."
"MS-00230","PRJ-026","Award","2025-07-08",,"Land Acquisition Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00231","PRJ-026","Compensation","2025-07-08",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00232","PRJ-026","Possession","2025-07-08",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00233","PRJ-026","R&R","2025-07-08",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00234","PRJ-026","Completion","2025-07-08",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00235","PRJ-027","Proposal","2025-07-11","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00236","PRJ-027","Scrutiny","2025-07-11","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00237","PRJ-027","Approval","2025-07-11","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00238","PRJ-027","Notification","2025-07-11","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00239","PRJ-027","Award","2025-07-11","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
